"База скачана с https://export-base.ru";"Стационарный телефон";"Мобильный телефон";"ИНН";"ОГРН";"Город";"Федеральный округ";"Рубрика";"Подрубрика";"Наличие филиалов";"Координаты(x, y)";"Часовой пояс";
"Shore House";"+7 (495) 727-26-78";"+7 (926) 245-07-93, +7 (926) 223-91-94";"7725375659";"1177746517277";"Москва";"Центральный федеральный округ";"Юридические / Бизнес / Финансовые услуги";"Банки";"";"55.821 37.384";"Московское время";
"Банк Раунд";"+7 (495) 980-19-24";"";"7712002554";"1027700140753";"Москва";"Центральный федеральный округ";"Юридические / Бизнес / Финансовые услуги";"Банки";"";"55.748 37.426, 55.748 37.426, 55.606 37.286";"Московское время";
"Банк Москва";"+7 (495) 777-97-97, +7 (495) 916-72-00, +7 (495) 916-72-17";"";"7703033450";"1027739045124";"Москва";"Центральный федеральный округ";"Юридические / Бизнес / Финансовые услуги";"Банки";"";"55.747 37.602";"Московское время";
"АйСиБиСи Банк";"+7 (495) 287-30-98, +7 (495) 287-30-99, +7 (495) 961-38-62, +7 (495) 225-92-75";"";"7750004217";"1077711000157";"Москва";"Центральный федеральный округ";"Юридические / Бизнес / Финансовые услуги";"Банки";"";"55.751 37.653";"Московское время";
"Аварийные газовые службы";"";"";"";"";"";"";"";"";"";"";"";""
"Газэнергоналадка";"+7 (495) 623-38-61, +7 (495) 624-29-05, +7 (495) 625-31-16, +7 (495) 625-61-77, +7 (495) 625-23-51, +7 (495) 625-61-79, +7 (495) 625-81-28, +7 (495) 624-60-82, +7 (495) 623-96-91";"";"7701264935";"1037739222355";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные газовые службы";"";"55.764 37.646, 55.765 37.646";"Московское время";
"ГАЗ в дом";"";"+7 (965) 294-47-78";"7723407930";"1157746823002";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные газовые службы";"";"55.548 37.551";"Московское время";
"Компания Коминфо";"+7 (499) 242-13-38, +7 (499) 242-34-50";"";"7703185164";"1027700237620";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные газовые службы";"";"55.723 37.578";"Московское время";
"Элезар";"+7 (495) 989-18-49";"";"7723653580";"1087746374913";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные газовые службы";"";"55.731 37.642";"Московское время";
"Термо Лайф";"+7 (499) 653-58-14, +7 (499) 653-86-16";"";"7710919024";"1127746645806";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные газовые службы";"";"55.682 37.633";"Московское время";
"Техногазсервис";"+7 (495) 943-02-26";"";"7743010001";"1037739544798";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные газовые службы";"";"55.712 37.627";"Московское время";
"Ситэк";"+7 (495) 334-19-98, +7 (495) 334-16-03, +7 (495) 334-41-77, +7 (495) 334-40-66, +7 (495) 212-06-19, +7 (495) 334-48-66";"";"7733648500";"1087746376706";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные газовые службы";"";"55.656 37.554";"Московское время";
"Газпром электрогаз";"+7 (499) 580-42-80, +7 (499) 580-42-81, +7 (499) 580-42-86, +7 (499) 580-42-20, +7 (499) 580-42-87, +7 (499) 580-42-21, +7 (499) 580-42-89";"";"7704726360";"1097746266320";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные газовые службы";"";"55.674 37.565";"Московское время";
